"Name","name_prefix","train/loss (Min)","train/tokens","Runtime","val/best_loss","State","Notes","User","Tags","Created","Sweep","actual_lr","batch_size","checkpoint_dir","compile","context_length","data_dir","ecd_F0","ecd_consEn","ecd_eps1","ecd_eps2","ecd_eta","ecd_lr_rescaled","ecd_nu","ecd_weight_decay","grad_accum","lr_index","mean_K","mean_Q","model","n_embd","n_head","n_layer","optimizer","save_checkpoints","seed","seed_index","seeds","soap_beta1","soap_beta2","soap_lr","soap_precondition_frequency","soap_weight_decay","std_K_max","std_K_min","std_Q_max","std_Q_min","train_tokens","use_asymmetric_mlp","use_bf16","use_disordered_attention","use_eq28_eta","use_k_bias","valid_every_updates","vocab_size","wandb","wandb_project","adamw_beta1","adamw_beta2","adamw_eps","adamw_lr","adamw_weight_decay","sgdm_lr","sgdm_momentum","sgdm_nesterov","sgdm_weight_decay","hybrid_adam_beta1","hybrid_adam_beta2","hybrid_adam_eps","hybrid_adam_lr","hybrid_adam_weight_decay","train/step","train/tokens_per_sec","val/loss"
"ecd-124m-extended-eta100-F02-lrhat1.0-seed42","ecd-124m-extended-eta100-F02","3.017948627471924","499961856","16313","3.867190737724304","finished","-","","finished-to-include","2025-11-03T23:27:07.000Z","","1","8","experiments/ecd_vs_soap/results/124m_extended/ecd_eta100_F02","false","512","/workspace/modded-nanogpt/data/finewebedu10B","2","true","1e-10","1e-40","100","[1]","0","0","1","0","0.3","0.5","124m","768","12","12","ecd","false","42","0","[42,123]","","","","","","0.08","0.12","0.15","0.05","500000000","true","true","true","true","true","1000","65536","true","ecd-vs-soap-extended-500M","","","","","","","","","","","","","","","122060","30671.023359430503","4.000186347961426"
"ecd-124m-extended-eta100-F02-lrhat1.0-seed123","ecd-124m-extended-eta100-F02","3.0283284187316895","499961856","15751","3.84696343421936","finished","-","","compare-3-val-loss, finished-to-include","2025-11-04T03:59:06.000Z","","1","8","experiments/ecd_vs_soap/results/124m_extended/ecd_eta100_F02","false","512","/workspace/modded-nanogpt/data/finewebedu10B","2","true","1e-10","1e-40","100","[1]","0","0","1","0","0.3","0.5","124m","768","12","12","ecd","false","123","1","[42,123]","","","","","","0.08","0.12","0.15","0.05","500000000","true","true","true","true","true","1000","65536","true","ecd-vs-soap-extended-500M","","","","","","","","","","","","","","","122060","31760.41271343101","3.9852629327774047"
"soap-adam-hybrid-best-soap_lr0.0010-seed42","soap-adam-hybrid-best","3.0538852214813232","499961856","47548","4.229530973434448","finished","-","","finished-to-include","2025-12-22T20:06:32.000Z","","0.001","8","experiments/ecd_vs_soap/results/124m_extended/soap_adam_hybrid_best","false","512","/workspace/modded-nanogpt/data/finewebedu10B","","","","","","","","","1","0","0","0","124m","768","12","12","soap_adam_hybrid","false","42","0","[42,123]","0.95","0.95","[0.001]","10","0.01","0","0","0","0","500000000","false","true","false","","false","1000","65536","true","ecd-vs-soap-extended-500M","","","","","","","","","","0.9","0.95","1e-8","0.0003","0.01","122060","10516.258696598306","4.36246467590332"
"adamw-124m-extended-best-lr0.0001-seed123","adamw-124m-extended-best","2.5566701889038086","499961856","8039","3.5744191551208497","finished","-","","adam-best-both-cases, compare-3-train-loss, finished-to-include","2025-11-06T11:37:14.000Z","","0.0001","8","experiments/ecd_vs_soap/results/124m_extended/adamw","false","512","/workspace/modded-nanogpt/data/finewebedu10B","","","","","","","","","1","0","0.3","0.5","124m","768","12","12","adamw","false","123","1","[42,123]","","","","","","0.08","0.12","0.15","0.05","500000000","true","true","true","","true","1000","65536","true","ecd-vs-soap-extended-500M","0.9","0.999","1e-8","[0.0001]","0","","","","","","","","","","122060","62249.62530831831","3.718281702995301"
"adamw-124m-extended-symmetric-lr0.0001-seed42","adamw-124m-extended-symmetric","2.5743727684020996","499961856","7926","3.5717960166931153","finished","-","","adam-best-both-cases, compare-3-val-loss, finished-to-include","2025-11-07T18:53:07.000Z","","0.0001","8","experiments/ecd_vs_soap/results/124m_extended/adamw_symmetric","false","512","/workspace/modded-nanogpt/data/finewebedu10B","","","","","","","","","1","0","0","0","124m","768","12","12","adamw","false","42","0","[42,123]","","","","","","0","0","0","0","500000000","false","true","false","","false","1000","65536","true","ecd-vs-soap-extended-500M","0.9","0.999","1e-8","[0.0001]","0","","","","","","","","","","122060","63145.0222010842","3.7101906633377073"
"ecd-124m-extended-eta1600-lrhat1.0-seed42","ecd-124m-extended-eta1600","3.261089563369751","499961856","16242","3.9274606466293336","finished","-","","finished-to-include","2025-11-04T08:21:44.000Z","","1","8","experiments/ecd_vs_soap/results/124m_extended/ecd_eta1600","false","512","/workspace/modded-nanogpt/data/finewebedu10B","3","true","1e-10","1e-40","1600","[1]","0","0","1","0","0.3","0.5","124m","768","12","12","ecd","false","42","0","[42,123]","","","","","","0.08","0.12","0.15","0.05","500000000","true","true","true","true","true","1000","65536","true","ecd-vs-soap-extended-500M","","","","","","","","","","","","","","","122060","30800.710554968024","4.047256784439087"
"sgdm-124m-disordered-lr0.0100-seed123","sgdm-124m-disordered","5.7733049392700195","499961856","7647","6.72437783241272","finished","-","","finished-to-include, sgdm, sgdm-low-lr","2025-11-16T10:12:38.000Z","","0.01","8","experiments/ecd_vs_soap/results/sgdm_comparison/sgdm_disordered","false","512","/workspace/modded-nanogpt/data/finewebedu10B","","","","","","","","","1","2","0.3","0.5","124m","768","12","12","sgdm","false","123","1","[42,123]","","","","","","0.08","0.12","0.15","0.05","500000000","true","true","true","","true","1000","65536","true","ecd-vs-soap-extended-500M","","","","","","[0.1,0.05,0.01]","0.9","false","0.01","","","","","","122060","65453.12342476307","6.913281879425049"
"soap-adam-hybrid-best-soap_lr0.0010-seed123","soap-adam-hybrid-best","3.03543758392334","499961856","47563","4.211977047920227","finished","-","","finished-to-include","2025-12-24T10:34:17.000Z","","0.001","8","experiments/ecd_vs_soap/results/124m_extended/soap_adam_hybrid_best","false","512","/workspace/modded-nanogpt/data/finewebedu10B","","","","","","","","","1","0","0","0","124m","768","12","12","soap_adam_hybrid","false","123","1","[42,123]","0.95","0.95","[0.001]","10","0.01","0","0","0","0","500000000","false","true","false","","false","1000","65536","true","ecd-vs-soap-extended-500M","","","","","","","","","","0.9","0.95","1e-8","0.0003","0.01","122060","10513.29252544704","4.341032791137695"
"soap-adam-hybrid-124m-extended-disordered-soap_lr0.0030-seed42","soap-adam-hybrid-124m-extended-disordered","5.216610908508301","499961856","50438","6.204314985275269","finished","-","","finished-to-include, soap-vs-hybrid","2025-12-20T22:43:47.000Z","","0.003","8","experiments/ecd_vs_soap/results/124m_extended/soap_adam_hybrid","false","512","/workspace/modded-nanogpt/data/finewebedu10B","","","","","","","","","1","0","0.3","0.5","124m","768","12","12","soap_adam_hybrid","false","42","0","[42,123]","0.95","0.95","[0.003]","10","0","0.08","0.12","0.15","0.05","500000000","true","true","true","","true","1000","65536","true","ecd-vs-soap-extended-500M","","","","","","","","","","0.9","0.95","1e-8","0.0003","0.01","122060","9914.164591342202","7.651372327804565"
"soap-124m-extended-best-lr0.0010-seed123","soap-124m-extended-best","3.0242724418640137","499961856","51689","4.167154521942138","finished","-","","compare-3-train-loss, finished-to-include, soap-vs-hybrid","2025-11-07T04:13:02.000Z","","0.001","8","experiments/ecd_vs_soap/results/124m_extended/soap","false","512","/workspace/modded-nanogpt/data/finewebedu10B","","","","","","","","","1","0","0","0","124m","768","12","12","soap","false","123","1","[42,123]","0.95","0.95","[0.001]","10","0","0","0","0","0","500000000","false","true","false","","false","1000","65536","true","ecd-vs-soap-extended-500M","","","","","","","","","","","","","","","122060","9674.559893838965","4.29144214630127"
